id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,realease_year,emotion_tag
1550,Don't Be so Hard on Yourself,Jess Glynne,0.571,0.815,6,-3.267,1,0.0321,0.0608,0,0.163,0.664,120.008,211460,4,2015,
1551,Hallelujah,Pentatonix,0.322,0.377,7,-7.385,0,0.0356,0.454,0,0.338,0.366,118.669,268960,4,2016,
1552,SSRI,Miles Jenson,0.474,0.716,10,-4.608,1,0.0378,0.288,0,0.489,0.316,85.957,210792,4,2022,
1553,Unconditionally,Alex Goot,0.238,0.625,4,-7.738,1,0.0529,0.00984,0,0.172,0.278,90.238,219474,3,2014,
1554,Superficial Love,Ruth B.,0.477,0.242,8,-9.162,1,0.0529,0.928,0,0.0818,0.488,43.509,207973,4,2015,
1555,Scotty Doesn't Know,Lustra,0.317,0.887,0,-4.525,1,0.0472,0.000449,9.23E-06,0.363,0.544,174.009,175200,4,2006,angry
1556,never ending,Fax Farin,0.737,0.245,1,-8.677,0,0.173,0.465,0.833,0.093,0.336,80.951,108960,4,2022,
1557,Red Planet,Baen Mow,0.765,0.393,9,-11.788,0,0.0618,0.611,0.847,0.111,0.702,82.025,120000,4,2022,
1558,Rockaway,Mac DeMarco,0.821,0.322,0,-15.503,0,0.123,0.576,0.804,0.108,0.803,94.46,126440,4,2023,chill
1559,Jealous,Labrinth,0.439,0.153,1,-8.95,1,0.0479,0.874,0,0.107,0.104,116.76,287693,3,2014,sad
1560,Red Sex,Vessel,0.556,0.73,11,-7.1,1,0.0294,3.90E-05,0.821,0.091,0.0689,127.516,337406,4,2014,
1561,handle it.,igory,0.734,0.277,9,-8.52,1,0.0988,0.187,0.952,0.0835,0.325,88.979,194342,4,2023,
1562,By the Sword,iamjakehill,0.685,0.76,2,-7.813,1,0.0512,0.0199,0.151,0.0866,0.781,160.035,125812,4,2020,angry
1563,Youngblood,5 Seconds of Summer,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,203418,4,2018,
1564,Café Con Leche,Pitbull,0.916,0.852,4,-2.933,0,0.0876,0.084,0.000166,0.03,0.628,128.04,168323,4,2022,
1565,hand-me-downs,hoodeeny,0.821,0.423,8,-9.699,1,0.0773,0.595,0.914,0.12,0.605,140.015,124641,4,2022,
1566,Bois Lie (feat. Machine Gun Kelly),Avril Lavigne,0.541,0.855,6,-4.578,1,0.0668,0.00164,0,0.145,0.739,143.967,163322,4,2022,
1567,don't miss me,Claire Rosinkranz,0.796,0.727,1,-4.726,1,0.04,0.793,2.49E-05,0.0858,0.818,104.98,123950,4,2021,
1568,Alice,Shalaq,0.683,0.3,9,-14.1,0,0.0398,0.863,0.908,0.103,0.242,140.03,164571,4,2022,
1569,What If I Told You That I Love You,Ali Gatie,0.596,0.366,7,-11.144,1,0.115,0.63,7.04E-06,0.0554,0.229,84.394,193668,4,2020,
1570,Boomslang,Kublai Khan TX,0.429,0.865,0,-3.676,0,0.0619,3.81E-05,0.00204,0.125,0.387,125.44,147134,4,2019,
1571,POWER,Kanye West,0.542,0.914,0,-4.747,0,0.113,0.0161,0,0.744,0.576,153.993,292093,4,2010,angry
1572,I Want You Back,wwoman,0.861,0.388,9,-11.728,0,0.0543,0.572,0.000984,0.33,0.491,89.989,247320,4,2020,
1573,Final Destination,Nuver,0.732,0.129,9,-14.669,1,0.0379,0.285,0.888,0.0903,0.103,77.025,127792,4,2023,
1574,Funkytown - Single Version,Various Artists,0.915,0.591,0,-8.865,1,0.0597,0.000468,0.833,0.0938,0.315,122.664,234800,4,2022,
1575,תדעי לך,Avi Aburomi,0.512,0.505,9,-6.299,1,0.0295,0.657,0,0.111,0.465,138.155,209290,4,2016,
1576,Click Click Boom,Saliva,0.609,0.935,6,-2.941,1,0.0479,0.0029,0.000359,0.188,0.498,95.957,252400,4,2001,angry
1577,Boyfriend Of The Year (Sadder),Bellah Mae,0.485,0.396,1,-6.855,1,0.0594,0.738,0,0.0801,0.42,94.668,201290,5,2022,
1578,Read All About It,Professor Green,0.654,0.755,11,-5.546,0,0.0465,0.347,0,0.211,0.419,100.952,235729,4,2011,
1579,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,0.668,0.892,5,-3.001,0,0.0645,0.298,0,0.735,0.478,95.927,159011,4,2016,
1580,Cheerleader - Felix Jaehn Remix Radio Edit,OMI,0.782,0.685,4,-6.237,1,0.0309,0.166,1.18E-05,0.16,0.603,118.016,180566,4,2015,happy
1581,WARNING - Sped Up,MC ORSEN,0.768,0.858,8,-4.629,1,0.0767,0.0144,0.861,0.0829,0.522,143.56,108672,4,2022,
1582,pogo,bbno$,0.729,0.973,4,-2.761,1,0.0759,0.0424,0.205,0.333,0.687,124.957,207360,4,2022,happy
1583,Easy On Me,Adele,0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981,224695,4,2021,
1584,Woof,Montmoulin,0.76,0.877,10,-6.749,0,0.0389,0.0178,0.000468,0.085,0.743,122.014,152973,4,2020,
1585,Fade To Dawn,Maudii,0.681,0.239,9,-10.397,0,0.0472,0.9,0.936,0.109,0.172,85.985,145116,4,2022,
1586,Out of My League,Fitz and The Tantrums,0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,209386,4,2013,
1587,In the Beginning,ONEFOUR,0.771,0.771,8,-4.732,1,0.336,0.12,0,0.454,0.745,140.994,238298,4,2019,
1588,SLOW DANCING IN THE DARK,Joji,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,209274,4,2018,
1589,You Are In Love,Taylor Swift,0.474,0.48,2,-8.894,1,0.0622,0.707,0.000108,0.0903,0.319,170.109,267107,4,2014,
1590,Yellow,Coldplay,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773,4,2000,
1591,Boy With Luv (feat. Halsey),BTS,0.645,0.862,11,-4.761,0,0.0845,0.0933,0,0.193,0.803,119.947,229773,4,2019,
1592,ground effect,sentiment:lo,0.663,0.518,10,-8.846,0,0.245,0.87,0.886,0.251,0.8,79.991,117750,4,2023,
1593,A Thousand Years,Christina Perri,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,285120,3,2011,
1594,Grumpy Old Man,Remi Wolf,0.736,0.83,5,-5.526,0,0.0657,0.0909,0,0.123,0.758,120.028,211186,4,2021,happy
1595,Shivers,Ed Sheeran,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,207853,4,2021,
1596,You're Somebody Else,flora cash,0.713,0.452,1,-9.638,1,0.0295,0.841,0.0038,0.105,0.235,102.963,218883,4,2018,
1597,Closer,The Chainsmokers,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960,4,2016,
1598,Magic In The Hamptons (feat. Lil Yachty),Social House,0.769,0.479,1,-5.339,1,0.0385,0.66,0,0.0914,0.803,96.051,164640,4,2018,
1599,Last Chance,Does it matter,0.632,0.589,0,-13.48,1,0.0378,0.8,0.924,0.101,0.451,121.973,148033,4,2022,chill
1600,Break Stuff,Limp Bizkit,0.435,0.913,8,-5.358,1,0.174,0.00223,0.000112,0.0524,0.607,108.725,166653,4,2005,
1601,View,Maia Wright,0.706,0.863,10,-6.054,0,0.0709,0.189,0,0.36,0.418,114.969,178195,4,2020,happy
1602,u.,niteboi,0.463,0.653,4,-8.994,0,0.0998,0.218,0.867,0.111,0.0648,123.876,174240,4,2017,
1603,Jettski Grizzley (feat. Lil Pump),Tee Grizzley,0.875,0.878,8,-5.358,1,0.179,0.0966,0,0.333,0.381,100.042,163200,4,2018,angry
1604,One Kiss (with Dua Lipa),Calvin Harris,0.791,0.862,9,-3.24,0,0.11,0.037,2.19E-05,0.0814,0.592,123.994,214847,4,2018,
1605,Heart Like Yours,Various Artists,0.497,0.259,7,-9.782,1,0.033,0.879,0,0.102,0.338,140.117,200560,3,2014,sad
1606,Little Things,One Direction,0.709,0.22,7,-11.856,1,0.0327,0.811,0,0.175,0.53,110.076,219040,4,2012,
1607,Carefree,LESKY,0.63,0.501,1,-9.445,1,0.0843,0.784,0.875,0.112,0.423,90.084,134667,4,2022,
1608,Heather,Conan Gray,0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,0.27,102.078,198040,3,2020,
1609,No Trouble,Houses,0.527,0.354,7,-14.037,1,0.0359,0.509,0.752,0.0937,0.242,89.98,219373,4,2021,chill
1610,Don't Lie To Me,Wett Brain,0.527,0.802,1,-7.768,0,0.0597,0.000161,0,0.386,0.403,140.076,153857,4,2019,sad
1611,16 Psyche,Chelsea Wolfe,0.286,0.588,0,-5.727,0,0.031,4.59E-05,0.735,0.106,0.0438,157.986,258555,4,2017,
1612,Sure Thing,Deauxnuts,0.818,0.194,8,-12.801,0,0.0709,0.25,0.881,0.11,0.663,83.029,104096,4,2022,chill
1613,Desire,George Riley,0.689,0.609,10,-9.889,0,0.0382,0.295,0.0455,0.117,0.103,128.024,108646,4,2022,
1614,Lucky - LO'99 Remix,PNAU,0.664,0.799,0,-5.597,1,0.0308,0.000605,0.0704,0.152,0.196,123.994,272956,4,2020,chill
1615,Calm Nights,Culpeo,0.728,0.187,11,-11.351,1,0.0381,0.856,0.909,0.109,0.139,87.528,170912,4,2023,chill
1616,Retrograde,James Blake,0.533,0.251,7,-11.283,0,0.0372,0.873,0.104,0.134,0.186,77.503,223600,4,2013,
1617,Boyish - Recorded At Electric Lady Studios,Japanese Breakfast,0.243,0.133,2,-12.329,1,0.0329,0.791,0.00321,0.288,0.167,183.796,246304,4,2021,
1618,Family,The Chainsmokers,0.584,0.607,11,-6.605,1,0.0356,0.426,0,0.101,0.374,117.817,194827,4,2019,
1619,Dream On Me,Ella Henderson,0.602,0.636,8,-6.584,1,0.0563,0.179,0,0.162,0.547,117.962,182276,4,2020,
1620,Jump Around,House Of Pain,0.854,0.71,4,-6.32,0,0.0793,0.0113,8.72E-05,0.166,0.818,106.894,214947,4,1992,
1621,Tell Me About It,Ella Eyre,0.628,0.835,2,-4.688,1,0.128,0.0885,0,0.148,0.876,160.014,195800,4,2020,
1622,Chameleon (feat. Salt Cathedral),Matisyahu,0.553,0.591,5,-8.375,0,0.318,0.105,0,0.184,0.619,89.171,188253,4,2021,
1623,Stop Snitchin,YG,0.842,0.743,7,-4.43,1,0.329,0.00531,3.69E-06,0.151,0.622,180.917,149880,4,2019,
1624,miss the rage,Jeethz,0.509,0.752,8,-6.58,1,0.0291,2.95E-05,5.03E-06,0.27,0.323,78.027,175385,4,2022,
1625,Return of the Mack,Mark Morrison,0.715,0.833,2,-5.379,1,0.108,0.00631,0,0.164,0.612,95.487,213093,4,1996,happy
1626,Dancing in the Moonlight,Toploader,0.632,0.856,10,-3.463,1,0.0348,0.0624,0,0.347,0.867,119.397,232693,4,2000,
1627,Pacific Highway,Homson,0.755,0.406,4,-11.509,0,0.0574,0.759,0.801,0.105,0.405,90.035,138663,4,2022,
1628,Noodgeval,Goldband,0.856,0.89,2,-6.463,0,0.0627,0.131,0.0143,0.0614,0.77,139.003,214383,4,2021,
1629,Sad Way,Altero,0.623,0.58,10,-9.614,1,0.0457,0.47,3.43E-06,0.338,0.325,99.976,192019,4,2021,
1630,Selfish,slowthai,0.358,0.839,2,-5.342,1,0.203,0.00031,0.00081,0.101,0.211,84.85,192716,4,2023,
1631,You're Somebody Else,flora cash,0.706,0.46,1,-9.061,1,0.0296,0.847,0.00793,0.106,0.226,102.98,219013,4,2020,
1632,White Iverson,Post Malone,0.675,0.562,7,-7.678,1,0.0352,0.233,0,0.0816,0.309,130.098,256533,4,2016,happy
1633,Best of You,Foo Fighters,0.366,0.94,1,-5.119,0,0.0696,0.000769,9.42E-05,0.188,0.369,130.198,255627,4,2005,
1634,fake love don't last (feat. iann dior),Machine Gun Kelly,0.659,0.733,8,-4.878,1,0.0577,0.0226,0,0.205,0.763,146.053,143205,4,2022,
1635,How Will I Know,Whitney Houston,0.761,0.739,6,-3.591,1,0.0369,0.178,3.35E-06,0.23,0.656,118.997,213436,4,2021,
1636,XO,EDEN,0.611,0.39,2,-5.861,0,0.116,0.625,0,0.118,0.617,163.897,159512,4,2016,sad
1637,This Town,Niall Horan,0.677,0.401,9,-8.467,1,0.0308,0.712,0,0.116,0.195,111.825,232852,4,2017,
1638,Crunchtime,Mike Oliver,0.743,0.186,8,-17.458,0,0.0583,0.552,0.893,0.107,0.618,168.163,131607,4,2022,
1639,Polk Salad Annie,Tony Joe White,0.783,0.543,9,-11.565,1,0.0412,0.303,0.0159,0.0892,0.833,132.035,223533,4,1969,happy
1640,M3tamorphosis (feat. Kid Cudi),Playboi Carti,0.657,0.604,0,-6.045,1,0.0374,0.0213,0,0.156,0.122,73.933,312257,4,2020,
1641,Malibu,Virginia To Vegas,0.657,0.653,9,-8.525,1,0.0258,0.0568,0.000142,0.321,0.624,111.974,148822,4,2021,
1642,Damaged Goods,IDLES,0.472,0.793,4,-6.131,0,0.0552,5.63E-05,0.404,0.818,0.595,171.03,160000,4,2021,
1643,Edge of Seventeen,Stevie Nicks,0.59,0.828,0,-6.28,1,0.0439,0.277,5.57E-06,0.0868,0.636,111.353,329680,4,2007,
1644,Moonlight Mercy,Liush,0.546,0.0754,6,-20.151,1,0.0304,0.934,0.371,0.0875,0.312,94.663,244993,4,2023,sad
1645,Primadonna,MARINA,0.66,0.689,4,-2.671,0,0.0337,0.0884,0,0.0922,0.427,127.98,221075,4,2012,
1646,Exklusive Mermaid,Hurricana Life,0.789,0.38,1,-9.565,1,0.156,0.416,0.226,0.109,0.363,149.841,103200,4,2022,
1647,The Jetset Life Is Gonna Kill You,My Chemical Romance,0.494,0.971,2,-3.868,0,0.0546,0.000389,4.45E-05,0.0978,0.185,125.019,217733,4,2004,
1648,Call Me,Gigi Masin,0.436,0.359,1,-14.491,0,0.0298,0.937,0.508,0.146,0.162,164.025,268500,5,1986,sad
1649,MONOLOG,Jazzy James,0.7,0.381,10,-12.766,0,0.0479,0.561,0.804,0.136,0.397,78.002,187885,4,2022,
1650,Ain't Shit,Doja Cat,0.855,0.488,3,-4.601,1,0.208,0.506,0,0.347,0.619,124.097,174253,4,2021,angry
1651,Until the light of dawning,Nema,0.785,0.224,5,-8.692,0,0.462,0.81,0.517,0.104,0.863,75.023,57344,3,2023,
1652,Love Me Faster - Slowed + Reverb Version,Meric,0.71,0.843,8,-6.282,0,0.0471,0.127,0.0217,0.106,0.29,110.186,169846,4,2022,
1653,Sit Back,Shaé Universe,0.724,0.512,5,-6.909,0,0.174,0.187,2.13E-06,0.126,0.53,60.517,180468,4,2022,
1654,Always on My Mind,Dog Collective,0.706,0.721,0,-6.925,0,0.0601,0.106,0.000465,0.066,0.554,119.998,225097,4,2018,
1655,Here (In Your Arms),Hellogoodbye,0.7,0.607,5,-6.804,1,0.0359,0.197,0.00173,0.272,0.774,126.045,240547,4,2006,
1656,You Should've Killed Me When You Had the Chance,A Day To Remember,0.211,0.965,0,-5.467,0,0.211,4.44E-05,0,0.526,0.346,185.232,220413,4,2008,
1657,Disintegrate,Timothy Infinite,0.692,0.494,3,-9.938,0,0.137,0.696,0.649,0.0996,0.428,80.019,134125,4,2022,
1658,Backstabber,Kesha,0.6,0.939,7,-1.794,1,0.19,0.0666,6.18E-06,0.34,0.833,159.941,186840,4,2010,
1659,Trip walkin,Surdég Broed,0.771,0.277,8,-9.14,0,0.103,0.833,0.882,0.104,0.547,82.173,137627,4,2022,
1660,Turn Up The Sunshine - From 'Minions: The Rise of Gru' Soundtrack,Diana Ross,0.776,0.676,11,-5.007,1,0.0511,0.114,3.29E-06,0.0687,0.774,110.017,229611,4,2022,
1661,Turning Tables,Adele,0.361,0.446,0,-6.044,0,0.0281,0.95,1.32E-05,0.132,0.212,155.542,250000,4,2011,
1662,I Wish,Stevie Wonder,0.822,0.74,10,-10.527,0,0.0522,0.0987,1.48E-05,0.0686,0.873,105.875,252333,4,1999,happy
1663,Bow Down,I Prevail,0.426,0.959,0,-4.95,1,0.0525,5.36E-05,6.54E-06,0.707,0.372,155.01,242680,4,2019,
1664,driveway,Lil Peep,0.392,0.499,11,-6.997,1,0.0425,0.0166,0,0.234,0.232,135.551,159080,4,2016,
1665,STAY (with Justin Bieber),The Kid LAROI,0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,141806,4,2021,
1666,Is It Just Me? (feat. JP Cooper),Emily Burns,0.478,0.339,4,-7.355,1,0.0544,0.688,0,0.104,0.288,145.441,203300,4,2020,
1667,No Contestaste,Dinamarca,0.796,0.468,11,-8.912,0,0.0548,0.469,0.323,0.111,0.689,145.987,155077,4,2020,angry
1668,Remember Me,Abra Cadabra,0.744,0.478,8,-9.451,0,0.337,0.468,6.54E-06,0.205,0.479,104.939,185143,4,2019,
1669,All Dogs Go to Heaven,$uicideboy$,0.884,0.903,6,-3.672,0,0.2,0.274,0.00037,0.302,0.839,75.022,153652,4,2020,
1670,Valerie (feat. Amy Winehouse) - Version Revisited,Mark Ronson,0.698,0.844,1,-4.789,1,0.0544,0.00253,0.000426,0.124,0.896,105.828,219413,4,2007,
1671,Smile,Lily Allen,0.632,0.639,5,-5.938,1,0.0259,0.00143,0,0.221,0.733,95.506,196893,4,2006,angry
1672,Spin Dat,A92,0.899,0.49,8,-8.563,1,0.51,0.115,1.13E-06,0.0954,0.592,141.959,218239,4,2021,
1673,Happiest Year,Jaymes Young,0.501,0.167,1,-14.061,1,0.0484,0.885,0,0.111,0.356,112.275,228443,3,2019,sad
1674,6pm Freedom,Arlos,0.811,0.3,5,-13.096,0,0.052,0.44,0.925,0.112,0.0925,129.976,180923,4,2022,
1675,I Feel Good,Pink Sweat$,0.803,0.75,11,-4.67,1,0.0551,0.0233,3.87E-05,0.045,0.628,106,136058,4,2021,
1676,UN DIA (ONE DAY) (Feat. Tainy),J Balvin,0.571,0.693,6,-8.234,0,0.0545,0.00536,0,0.173,0.393,168.169,232253,4,2020,
1677,Without Your Loving (FIXL Remix),Madism,0.695,0.703,3,-7.593,1,0.0386,0.485,0.000612,0.303,0.276,124.013,173226,4,2020,chill
1678,Grey Grey Sky,Low Key Persona,0.743,0.287,4,-8.255,0,0.0797,0.257,0.822,0.108,0.251,160.054,114000,4,2022,
1679,Love Lost,Mac Miller,0.735,0.812,2,-4.417,1,0.151,0.528,0,0.186,0.584,109.835,162876,4,2022,
1680,Planet Shit,Every Time I Die,0.383,0.996,0,-2.39,1,0.156,0.00014,0,0.296,0.163,124.2,236533,4,2021,angry
1681,Ransom,Lil Tecca,0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,131240,4,2019,
1682,If You Really Love Me (How Will I Know),David Guetta,0.692,0.883,7,-4.698,1,0.0582,0.0512,0,0.228,0.614,122.984,184390,4,2021,
1683,Ecce! Ego!,Leon Vynehall,0.372,0.591,1,-8.68,1,0.0453,0.0145,0.849,0.394,0.206,82.005,213040,4,2021,
1684,Dior,Pop Smoke,0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142.094,216387,4,2019,
1685,Sugar,Maroon 5,0.748,0.788,1,-7.055,1,0.0334,0.0591,0,0.0863,0.884,120.076,235493,4,2014,
1686,Yuki,Tenno,0.543,0.363,8,-14.734,1,0.0485,0.896,0.905,0.124,0.0647,128.131,140625,4,2022,
1687,2 Much,Justin Bieber,0.583,0.444,9,-8.601,1,0.0456,0.593,0,0.353,0.167,119.59,152796,4,2021,
1688,Walking On A Dream,Empire of the Sun,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52E-06,0.0589,0.716,126.975,198440,4,2008,happy
1689,Ascension,The Bug,0.567,0.937,5,-8.566,0,0.0412,0.000155,0.883,0.0732,0.647,140.041,228689,4,2014,angry
1690,that way,Tate McRae,0.453,0.383,0,-11.015,1,0.163,0.728,0,0.387,0.333,105.029,175027,4,2020,
1691,Lose It All,James Carter,0.321,0.756,0,-8.01,0,0.14,0.63,8.19E-05,0.117,0.256,173.931,174613,3,2019,
1692,Shout It Out,Mariette,0.517,0.819,3,-6.557,1,0.102,0.058,0,0.134,0.608,145.681,181011,4,2020,
1693,My Nemesis,Five Finger Death Punch,0.437,0.97,1,-2.333,0,0.0771,2.87E-05,0,0.252,0.509,74.995,215872,4,2015,angry
1694,O Green World,Gorillaz,0.672,0.768,0,-7.718,1,0.0347,0.00201,0.905,0.136,0.858,122.583,275000,4,2005,
1695,No More Tears,Ozzy Osbourne,0.346,0.749,6,-6.506,1,0.035,0.00167,8.86E-05,0.648,0.315,102.591,443240,4,1991,
1696,Duck Duck Goose,A92,0.834,0.595,11,-13.202,1,0.324,0.711,1.40E-05,0.0901,0.725,139.926,193807,4,2020,
1697,You for Me,Sigala,0.733,0.886,2,-1.856,0,0.0426,0.0481,1.81E-06,0.191,0.696,126.031,175435,4,2021,
1698,CHERRY BOMB,"Tyler, The Creator",0.594,0.817,2,-3.389,1,0.0521,0.001,0.8,0.155,0.151,133.868,269352,4,2015,
1699,He Mele No Lilo,Various Artists,0.586,0.421,7,-10.672,1,0.0396,0.0763,1.12E-05,0.12,0.247,126.75,150680,4,2002,
1700,Lonely Shade of Blue,Nick Leng,0.672,0.129,4,-12.984,1,0.0336,0.888,6.03E-05,0.0891,0.17,114.935,262600,4,2019,
1701,Larabar,Wet,0.491,0.318,0,-10.057,0,0.0978,0.894,4.96E-05,0.14,0.152,73.354,175122,4,2021,
1702,Ain't it Funny,Danny Brown,0.483,0.841,5,-5.115,0,0.0964,0.0108,2.71E-06,0.382,0.204,114.382,177025,4,2016,angry
1703,Levitar,Senoidal,0.616,0.365,7,-16.309,1,0.0504,0.96,0.818,0.116,0.312,77.973,147692,4,2022,
1704,Watskeburt?!,De Jeugd Van Tegenwoordig,0.946,0.491,1,-7.931,1,0.231,0.00521,0,0.226,0.586,130.029,375973,4,2008,happy
1705,I Love You,Young Slo-Be,0.383,0.824,1,-6.814,1,0.299,0.145,0,0.312,0.608,85.441,123429,4,2021,
1706,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0.741,0.691,10,-7.395,0,0.0672,0.0221,0,0.0476,0.892,150.087,212353,4,2021,
1707,The Sharpest Lives,My Chemical Romance,0.513,0.937,1,-3.427,0,0.0532,0.000111,0.000102,0.083,0.543,155.015,200880,4,2006,
1708,I Wonder,3LetterzNUK,0.632,0.398,10,-13.233,1,0.254,0.332,0,0.112,0.319,162.032,260718,4,2018,
1709,surf & turf,Mathis,0.883,0.314,9,-10.57,0,0.497,0.785,0.765,0.111,0.26,75.011,141300,4,2022,
1710,Apologize,OneRepublic,0.593,0.74,8,-6.12,1,0.0339,0.363,2.22E-05,0.102,0.502,118.008,208107,4,2007,sad
1711,New Americana,Halsey,0.444,0.711,0,-5.106,0,0.0327,0.0119,0,0.34,0.371,86.976,183808,4,2015,
1712,A Good Evening,Secret Corner,0.79,0.0505,11,-20.381,0,0.0621,0.712,0.926,0.354,0.179,119.96,132134,4,2022,
1713,Mama Said,Lukas Graham,0.712,0.799,7,-4.564,0,0.0703,0.0447,6.40E-05,0.37,0.591,83.996,206903,4,2016,
1714,Do It Again,CAROLINE,0.431,0.305,11,-9.64,1,0.0293,0.85,0,0.118,0.429,170.011,189910,4,2022,
1715,you and the everything of everything,RⱯHM ⚉,0.635,0.448,1,-9.106,1,0.0598,0.206,0.00259,0.103,0.239,148.024,160120,4,2021,
1716,Don't Be Shy,Tiësto,0.77,0.787,11,-3.748,0,0.0583,0.198,0,0.262,0.513,119.986,140500,4,2021,happy
1717,Party Up,DMX,0.51,0.931,11,-3.302,1,0.347,0.0738,0,0.5,0.53,201.936,268867,4,1999,
1718,Walk Through the Sky,Zumak,0.561,0.541,11,-9.773,0,0.282,0.661,0.787,0.0837,0.462,139.807,113339,4,2022,
1719,Spectacular Anthem,GAIKA,0.539,0.615,9,-9.686,1,0.0517,0.203,0.0601,0.083,0.126,110.034,271827,4,2018,
1720,Better Not (with Wafia),Louis The Child,0.783,0.537,9,-2.921,1,0.0795,0.278,0,0.229,0.393,113.988,222866,4,2018,
1721,Yours,Russell Dickerson,0.554,0.722,11,-6.005,1,0.034,0.119,0,0.0861,0.558,134.058,216960,4,2017,
1722,Overpass Graffiti,Ed Sheeran,0.52,0.849,9,-3.794,0,0.186,0.00253,0,0.119,0.774,175.908,236907,4,2021,
1723,Angels,Addal,0.479,0.675,5,-7.266,0,0.0391,0.306,0.853,0.102,0.177,116.937,213333,4,2020,
1724,go,Cat Burns,0.663,0.251,6,-9.87,0,0.0435,0.88,0,0.0932,0.528,90.272,215000,4,2020,
1725,Fading,Alle Farben,0.734,0.76,11,-5.267,0,0.0415,0.0232,0,0.127,0.685,122.072,207013,4,2018,
1726,gramophone groove,nuttin,0.739,0.199,5,-15.632,0,0.111,0.823,0.545,0.115,0.332,87.987,132706,4,2022,
1727,I Hope You’re Happy,Games We Play,0.539,0.867,2,-4.222,1,0.0661,0.00137,0,0.426,0.837,87.466,179851,4,2022,
1728,Bittersweet Sophie,enix lee,0.716,0.278,10,-9.397,0,0.0757,0.589,0.9,0.106,0.27,80.001,195658,4,2022,
1729,Uprising,Muse,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,304840,4,2009,
1730,Hex,80purppp,0.845,0.398,5,-15.781,1,0.268,0.872,0.00713,0.159,0.482,109.996,122222,4,2018,
1731,Pope Is a Rockstar,SALES,0.725,0.446,4,-8.958,0,0.0287,0.85,0.243,0.107,0.311,90.024,187333,4,2016,
1732,Running (feat. Ghetts),Pip Millett,0.718,0.67,1,-8.721,1,0.0494,0.535,0.264,0.675,0.509,139.938,242973,4,2021,
1733,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,169153,4,2021,
1734,Going Bad (feat. Drake),Meek Mill,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,180522,4,2018,angry
1735,Empty Promises,Rocco,0.654,0.547,6,-6.464,0,0.212,0.167,0,0.111,0.204,169.886,146811,4,2022,
1736,No Judgement,Niall Horan,0.723,0.726,1,-3.835,0,0.0472,0.0564,0.000126,0.057,0.962,100.051,176283,4,2020,
1737,Dance Monkey,Tones And I,0.824,0.592,6,-6.4,0,0.0969,0.693,0.000158,0.178,0.54,98.074,209755,4,2019,
1738,Snowman,Sia,0.716,0.512,1,-6.257,1,0.0331,0.483,0,0.0928,0.326,104.957,165907,3,2018,
1739,XO,EDEN,0.611,0.39,2,-5.861,0,0.116,0.625,0,0.118,0.617,163.897,159512,4,2016,
1740,What up robot?,Wavy Naps,0.788,0.315,5,-12.584,0,0.0736,0.695,0.814,0.0988,0.181,85.074,124951,4,2023,chill
1741,i think it was november,Genser 55,0.795,0.253,2,-11.733,0,0.0869,0.778,0.905,0.931,0.447,80.994,142222,4,2023,
1742,Here With Me,d4vd,0.574,0.469,4,-8.209,1,0.0254,0.534,9.21E-05,0.128,0.288,132.023,242485,4,2022,sad
1743,hand crushed by a mallet,100 gecs,0.659,0.473,1,-7.306,0,0.125,0.274,0,0.28,0.788,84.505,126616,4,2019,
1744,Clean,Taylor Swift,0.815,0.377,4,-7.754,1,0.0346,0.232,0,0.1,0.211,103.97,271000,4,2014,
1745,Hurt,Various Artists,0.559,0.334,0,-8.047,1,0.0308,0.774,4.02E-05,0.116,0.119,110.053,165818,4,2023,sad
1746,Disaster (feat. J Hus),Dave,0.727,0.761,0,-5.686,0,0.436,0.619,0,0.077,0.706,91.108,240160,4,2019,
1747,Just the Way You Are,Bruno Mars,0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,220734,4,2010,
